variable;distribution;lower;median;upper;unit;description
additional_fruit_drop_unfavorable_weather_tp1;tnorm_0_1;0.16;NA;0.33;%/100;Additional fruitlet drop in case of unfavorable weather (tp1-tp2)
additional_pre_harvest_fruit_drop_storm;tnorm_0_1;0.01;NA;0.1;%/100;Additional pre-harvest fruit drop in case of storm (tp4-harvest)
additional_sunburn_removing_leaves_tp4_harvest;tnorm_0_1;0.02;NA;0.03;%/100;Additional sunburn after pneumatic leaf removing (tp4-harvest)
additional_sunburn_summer_pruning_tp3_tp4;tnorm_0_1;0.02;NA;0.25;%/100;Additional sunburn after summer pruning (tp3-tp4)
additional_sunburn_summer_pruning_tp4_harvest;tnorm_0_1;0.02;NA;0.25;%/100;Additional sunburn after summer pruning (tp4-harvest)
aphids_damage_tp1_tp2;tnorm_0_1;0.01;NA;0.5;%/100;Percentage of apples damaged by aphids (tp1-tp2)
aphids_damage_tp2_tp3;tnorm_0_1;0.01;NA;0.1;%/100;Percentage of apples damaged by aphids (tp2-tp3)
aphids_damage_tp3_tp4;const;0;NA;0;%/100;Percentage of apples damaged by aphids (tp3-tp4)
aphids_damage_tp4_harvest;const;0;NA;0;%/100;Percentage of apples damaged by aphids (tp4-harvest)
aphids_risk_tp1_tp2;tnorm_0_1;0.1;NA;0.3;%/100;Risk of aphid damage (tp1-tp2)
aphids_risk_tp2_tp3;tnorm_0_1;0.005;NA;0.1;%/100;Risk of aphid damage (tp2-tp3)
aphids_risk_tp3_tp4;const;0;NA;0;%/100;Risk of aphid damage (tp3-tp4)
aphids_risk_tp4_harvest;const;0;NA;0;%/100;Risk of aphid damage (tp4-harvest)
apple_fruit_density_at_harvest;posnorm;0.8;NA;0.9;g/cm3;Apple mass density at harvest
bad_seed_structure_deformation_tp2;tnorm_0_1;0.01;NA;0.25;%/100;Percentage of deformed apples in case of bad seed structure (tp2-tp3)
bad_seed_structure_reduce_pollinator_support;tnorm_0_1;0.05;NA;0.45;%/100;Percentage reduce of the risk of bad seed structure by pollinator support
bird_damage_tp3_tp4;tnorm_0_1;0.025;NA;0.05;%/100;Percentage of apples damaged by birds (tp3-tp4)
bird_damage_tp4_harvest;tnorm_0_1;0.025;NA;0.05;%/100;Percentage of apples damaged by birds (tp4-harvest)
bird_risk_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;Risk of bird damage (tp3-tp4)
bird_risk_tp4_harvest;tnorm_0_1;0.8;NA;0.9;%/100;Risk of bird damage (tp3-tp4)
bitter_pit_damage_leaf_fertilization_tp3_tp4;tnorm_0_1;0.01;NA;0.02;%/100;Percentage of apples with visible bitter pit symptoms despite foliar fertilization (tp3-tp4)
bitter_pit_damage_leaf_fertilization_tp4_harvest;tnorm_0_1;0.01;NA;0.02;%/100;Percentage of apples with visible bitter pit symptoms despite foliar fertilization (tp4-harvest)
bitter_pit_damage_tp3_tp4;tnorm_0_1;0.01;NA;0.02;%/100;Percentage of apples with visible bitter pit symptoms (tp3-tp4)
bitter_pit_damage_tp4_harvest;tnorm_0_1;0.01;NA;0.02;%/100;Percentage of apples with visible bitter pit symptoms (tp4-harvest)
bitter_pit_risk_leaf_fertilization_tp3_tp4;tnorm_0_1;0.001;NA;0.02;%/100;Risk of bitter pit despite foliar fertilization (tp3-tp4)
bitter_pit_risk_leaf_fertilization_tp4_harvest;tnorm_0_1;0.01;NA;0.02;%/100;Risk of bitter pit despite foliar fertilization (tp4-harvest)
bitter_pit_risk_tp3_tp4;tnorm_0_1;0.001;NA;0.02;%/100;Risk of bitter pit (tp3-tp4)
bitter_pit_risk_tp4_harvest;tnorm_0_1;0.01;NA;0.1;%/100;Risk of bitter pit (tp4-harvest)
codling_moth_damage_tp2_tp3;tnorm_0_1;0.005;NA;0.25;%/100;Percentage of apples damaged by codling moths (tp2-tp3)
codling_moth_damage_tp3_tp4;const;0;NA;0;%/100;Percentage of apples damaged by codling moths (tp3-tp4)
codling_moth_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.25;%/100;Percentage of apples damaged by codling moths (tp4-harvest)
codling_moth_risk_tp2_tp3;tnorm_0_1;0.9;NA;0.99;%/100;Risk of codling moth damage (tp2-tp3)
codling_moth_risk_tp3_tp4;const;0;NA;0;%/100;Risk of codling moth damage (tp3-tp4)
codling_moth_risk_tp4_harvest;tnorm_0_1;0.9;NA;0.99;%/100;Risk of codling moth damage (tp4-harvest)
color_damage_decrease_removing_leaves_tp4_harvest;tnorm_0_1;0.007;NA;0.27;%/100;Percentage decrease of apples with insufficient peel color by pneumatic leaf removing (tp4-harvest)
color_damage_decrease_summer_pruning_tp4_harvest;tnorm_0_1;0.01;NA;0.4;%/100;Percentage decrease of apples with insufficient peel color by summer pruning (tp4-harvest)
color_damage_increase_hailnet_tp4_harvest;tnorm_0_1;0.15;NA;0.6;%/100;Percentage increase of apples with insufficient peel color by hail net (tp4-harvest)
color_damage_increase_no_cold_nights_tp4_harvest;tnorm_0_1;0.2;NA;0.5;%/100;Percentage increase of apples with insufficient peel color in years without cold nights (tp4-harvest)
color_damage_variety;tnorm_0_1;0.15;NA;0.55;%/100;Percentage of apples with insufficient peel color under normal conditions (tp4-harvest)
color_risk_decrease_removing_leaves_tp4_harvest;tnorm_0_1;0.2;NA;0.7;%/100;Percentage decrease of the risk of apples with insufficient peel color by pneumatic leaf removing (tp4-harvest)
color_risk_decrease_summer_pruning_tp4_harvest;tnorm_0_1;0.2;NA;0.7;%/100;Percentage decrease of the risk of apples with insufficient peel color by summer pruning (tp4-harvest)
color_risk_increase_hailnet_tp4_harvest;tnorm_0_1;0.3;NA;0.7;%/100;Percentage increase of the risk of apples with insufficient peel color with hail net (tp4-harvest)
color_risk_increase_no_cold_nights_tp4_harvest;tnorm_0_1;0.5;NA;0.7;%/100;Percentage increase of the risk of apples with insufficient peel color in years without cold nights (tp4-harvest)
color_risk_variety;tnorm_0_1;0.07;NA;0.1;%/100;Risk of apples with insufficient peel color (tp4-harvest) 
damage_remove_manual_thinning_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;Percentage of damaged fruits removed by manual thinning (tp3-tp4)
decrease_fruit_drop_pollinator_support_tp1;tnorm_0_1;0.05;NA;0.5;%/100;Percentage decrease of fruitlet drop by pollinator support (tp1-tp2)
desired_number_of_fruits;posnorm;90;NA;100;apples;Desired number of fruits after manual thinning (tp3-tp4)
diameter_increase_change_overbearing;norm;-0.2;NA;-0.1;%/100;Percentage change of weekly diameter increase in case of overbearing (tp2-tp3, tp3-tp4, tp4-harvest)
diameter_increase_change_underbearing;norm;0.07;NA;0.11;%/100;Percentage change of weekly diameter increase in case of underbearing (tp2-tp3, tp3-tp4, tp4-harvest)
