variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
additional_fruit_drop_unfavorable_weather_tp1;tnorm_0_1;0.16;NA;0.33;%/100;;1;x
additional_pre_harvest_fruit_drop_storm;tnorm_0_1;0.01;NA;0.3;%/100;;4;
additional_sunburn_removing_leaves_tp4_harvest;tnorm_0_1;0.02;NA;0.03;%/100;;4;x
additional_sunburn_summer_pruning_tp3_tp4;tnorm_0_1;0.02;NA;0.25;%/100;Expertenschätzung;3;x
additional_sunburn_summer_pruning_tp4_harvest;tnorm_0_1;0.02;NA;0.25;%/100;abgewandelte Expertenschätzung;4;x
aphids_damage_tp2_tp3;tnorm_0_1;0.005;NA;0.14;%/100;;2;
aphids_damage_tp3_tp4;tnorm_0_1;0.005;NA;0.14;%/100;;3;
aphids_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.14;%/100;;4;
aphids_risk_tp2_tp3;tnorm_0_1;0.03;NA;0.05;%/100;;2;
aphids_risk_tp3_tp4;tnorm_0_1;0.03;NA;0.05;%/100;;3;
aphids_risk_tp4_harvest;tnorm_0_1;0.03;NA;0.05;%/100;;4;
apple_fruit_density_at_harvest;posnorm;0.8;NA;0.9;g/cm³;"berechnung aus eigenen Daten, darum geschätzt; 0.84 laut wikipidia https://de.wikipedia.org/wiki/Cox_Orange#:~:text=Sie%20haben%20ein%20mittleres%20Fruchtgewicht,%2C78%20und%200%2C90.";;x
bad_seed_structure_deformation_tp2;tnorm_0_1;0.01;NA;0.25;%/100;Expertenschätzung;2;
bad_seed_structure_reduce_pollinator_support;tnorm_0_1;0.05;NA;0.45;%/100;;2;x
bird_damage_tp3_tp4;tnorm_0_1;0.025;NA;0.05;%/100;;3;x
bird_damage_tp4_harvest;tnorm_0_1;0.025;NA;0.05;%/100;;4;x
bird_risk_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;eigene Schätzung;3;x
bird_risk_tp4_harvest;tnorm_0_1;0.8;NA;0.9;%/100;eigene Schätzung;4;x
bitter_pit_damage_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.12;%/100;;3;
bitter_pit_damage_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.12;%/100;;4;
bitter_pit_damage_tp3_tp4;tnorm_0_1;0.05;NA;0.2;%/100;;3;
bitter_pit_damage_tp4_harvest;tnorm_0_1;0.05;NA;0.2;%/100;;4;
bitter_pit_risk_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.55;%/100;;3;
bitter_pit_risk_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.55;%/100;;4;
bitter_pit_risk_tp3_tp4;tnorm_0_1;0.03;NA;0.77;%/100;;3;
bitter_pit_risk_tp4_harvest;tnorm_0_1;0.03;NA;0.77;%/100;;4;
codling_moth_damage_tp2_tp3;tnorm_0_1;0.005;NA;0.03;%/100;;2;x
codling_moth_damage_tp3_tp4;tnorm_0_1;0.005;NA;0.01;%/100;;3;
codling_moth_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.01;%/100;;4;
codling_moth_risk_tp2_tp3;tnorm_0_1;0.8;NA;0.9;%/100;;2;
codling_moth_risk_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;;3;
codling_moth_risk_tp4_harvest;tnorm_0_1;0.8;NA;0.9;%/100;;4;
color_damage_decrease_removing_leaves_tp4_harvest;tnorm_0_1;0.007;NA;0.27;%/100;;4;
color_damage_decrease_summer_pruning_tp4_harvest;tnorm_0_1;0.01;NA;0.4;%/100;;4;
color_damage_increase_hailnet_tp4_harvest;tnorm_0_1;0.15;NA;0.8;%/100;;4;
color_damage_increase_no_cold_nights_tp4_harvest;tnorm_0_1;0.2;NA;0.5;%/100;;4;
color_damage_variety;tnorm_0_1;0.01;NA;0.15;%/100;;4;
color_risk_decrease_removing_leaves_tp4_harvest;tnorm_0_1;0.6;NA;0.8;%/100;wahrscheinlichkeit das es einen effect hat recht hoch;4;
color_risk_decrease_summer_pruning_tp4_harvest;tnorm_0_1;0.6;NA;0.8;%/100;wahrscheinlichkeit das es einen effect hat recht hoch;4;
color_risk_increase_hailnet_tp4_harvest;tnorm_0_1;0.6;NA;0.8;%/100;wahrscheinlichkeit das es einen effect hat recht hoch;4;
color_risk_increase_no_cold_nights_tp4_harvest;tnorm_0_1;0.6;NA;0.8;%/100;wahrscheinlichkeit das es einen effect hat recht hoch;4;
color_risk_variety;tnorm_0_1;0.33;NA;0.75;%/100;;4;
daily_weight_increase_tp2_tp3;posnorm;0.25;NA;0.5;g/day;abgeleitet von Lakso et al 1995;2;
daily_weight_increase_tp3_tp4;posnorm;1.4;NA;2;g/day;abgeleitet von Lakso et al 1995 and 2017;3;
daily_weight_increase_tp4_harvest;posnorm;1.4;NA;2;g/day;abgeleitet von Lakso et al 1995 and 2017;4;
damage_remove_manual_thinning_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;;;
decrease_fruit_drop_pollinator_support_tp1;tnorm_0_1;0.7;NA;0.9;%/100;;1;
desired_number_of_fruits;const;100;NA;100;apples;"""Zielzahl"" Handausdünnung";3;
diameter_increase_change_overbearing;norm;-0.2;NA;-0.1;%/100;;2 und 3;
diameter_increase_change_underbearing;norm;0.1;NA;0.5;%/100;;2 und 3;
diameter_increase_reducing_factor_drought_tp3_tp4;tnorm_0_1;0.05;NA;0.8;%/100;;3;
diameter_increase_reducing_factor_drought_tp4_harvest;tnorm_0_1;0.65;NA;0.8;%/100;;4;
diameter_increase_reducing_factor_stress_tp2_tp3;tnorm_0_1;0.05;NA;0.95;%/100;;2;
dirty_fruits_damage_tp4_harvest;tnorm_0_1;0.02;NA;0.1;%/100;;4;
dirty_fruits_risk_tp4_harvest;tnorm_0_1;0.4;NA;0.8;%/100;;4;
drop_rate_frist_drop;tnorm_0_1;0.36;NA;0.72;%/100;kombinierte Verteilung;1;x
drought_risk_irrigation_tp3_tp4;tnorm_0_1;0.05;NA;0.1;%/100;Expertenschätzung;3;x
drought_risk_irrigation_tp4_harvest;tnorm_0_1;0.03;NA;0.08;%/100;Expertenschätzung;4;x
drought_risk_tp3_tp4;tnorm_0_1;0.15;NA;0.25;%/100;;3;
drought_risk_tp4_harvest;tnorm_0_1;0.15;NA;0.25;%/100;;4;
efficiency_chemical_thinning;tnorm_0_1;0.3;NA;0.5;%/100;Pflanzenschutz RLP 2022 Seite 76;1;
effiecency_mechanical_thinning;tnorm_0_1;0.3;NA;0.8;%/100;Pflanzenschutz RLP 2022 Seite 76;1;
excessive_russeting_damage_tp1_tp2;tnorm_0_1;0.05;NA;0.07;%/100;;;
excessive_russeting_damage_tp2_tp3;tnorm_0_1;0.05;NA;0.07;%/100;;;
excessive_russeting_risk_tp1_tp2;tnorm_0_1;0.1;NA;0.3;%/100;;;
excessive_russeting_risk_tp2_tp3;tnorm_0_1;0.1;NA;0.3;%/100;;;
expected_fruit_diameter_tp2;posnorm;0.8;NA;1.6;cm;;;
expected_fruit_weight_tp2;posnorm;0.27;NA;1.85;g;eigene daten;1 und 2;
frost_protection_efficiency;tnorm_0_1;0.6;NA;0.99;%/100;Überkronenberegnung: Frostschutzmodell;1;
frost_risk;tnorm_0_1;0.04;NA;0.1;%/100;Schädliches Frostereignis (berechne aus frost_risk und share_harmful_frost (Rheinland) aus dem DA modell. Untere Grenzen 0.45*0.09, obere Grenze 0.9*0.11;1;
fruit_cracking_damage_tp2_tp3;tnorm_0_1;0.005;NA;0.15;%/100;;;
fruit_cracking_damage_tp3_tp4;tnorm_0_1;0.005;NA;0.15;%/100;;;
fruit_cracking_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.15;%/100;;;
fruit_cracking_risk_tp2_tp3;tnorm_0_1;0.1;NA;0.15;%/100;;;
fruit_cracking_risk_tp3_tp4;tnorm_0_1;0.1;NA;0.15;%/100;;;
fruit_cracking_risk_tp4_harvest;tnorm_0_1;0.1;NA;0.15;%/100;;;
fruit_scab_damage_tp2_tp3;tnorm_0_1;0.0015;NA;0.08;%/100;;2;
fruit_scab_damage_tp3_tp4;tnorm_0_1;0.0015;NA;0.08;%/100;;3;
fruit_scab_damage_tp4_harvest;tnorm_0_1;0.0015;NA;0.08;%/100;;4;
fruit_scab_risk_tp2_tp3;tnorm_0_1;0.8;NA;0.9;%/100;;2;
fruit_scab_risk_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;;3;
fruit_scab_risk_tp4_harvest;tnorm_0_1;0.8;NA;0.9;%/100;;4;
hail_damage_hailnet_tp1_tp2;tnorm_0_1;0.2;NA;0.5;%/100;"hoher Wert, da oft darauf zurückzuführen, dass es noch nicht geschlossen war; Expertenschätzung";4;x
hail_damage_hailnet_tp2_tp3;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;2;x
hail_damage_hailnet_tp3_tp4;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;3;x
hail_damage_hailnet_tp4_harvest;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;4;x
hail_damage_tp1_tp2;tnorm_0_1;0.3;NA;0.7;%/100;Expertenschätzung;2;x
hail_damage_tp2_tp3;tnorm_0_1;0.1;NA;0.95;%/100;Expertenschätzung;2;x
hail_damage_tp3_tp4;tnorm_0_1;0.25;NA;0.99;%/100;Expertenschätzung, untere Grenze steigt wegen größerer Oberfläche;3;x
hail_damage_tp4_harvest;tnorm_0_1;0.25;NA;0.99;%/100;Expertenschätzung;4;x
hail_risk_hailnet_tp1_tp2;tnorm_0_1;0.01;NA;0.03;%/100;Expertenschätzung;4;x
hail_risk_hailnet_tp2_tp3;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;2;x
hail_risk_hailnet_tp3_tp4;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;3;x
hail_risk_hailnet_tp4_harvest;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;4;x
